0,1,2,3
297.0,623.0,534.8308143703015,3.0
122.0,149.0,540.0333323045902,2.0
558.0,594.0,540.6967873707183,9.0
280.0,606.0,546.5833269807389,3.0
19.0,75.0,552.9565986585204,2.0
299.0,496.0,576.2221793718114,2.0
184.0,570.0,581.4513450553422,3.0
442.0,583.0,581.5016480343514,4.0
224.0,505.0,584.0833273885955,3.0
393.0,589.0,589.662050104408,3.0
43.0,145.0,613.5087611436368,2.0
562.0,617.0,618.4145050045317,4.0
159.0,611.0,630.092321277869,3.0
507.0,616.0,636.4279220775907,4.0
499.0,522.0,666.2314412674723,3.0
94.0,409.0,672.5421919850085,2.0
456.0,608.0,673.5616774530254,3.0
157.0,578.0,687.0817515647852,3.0
380.0,627.0,688.3652131439143,3.0
7.0,559.0,699.9773805869254,3.0
537.0,605.0,710.2094761406665,6.0
62.0,639.0,716.2504217567113,3.0
286.0,646.0,721.2997527611758,3.0
363.0,634.0,722.8425370254114,3.0
312.0,645.0,732.7923762339962,4.0
117.0,624.0,750.1699807376991,3.0
337.0,565.0,778.6107285843592,3.0
452.0,557.0,793.1054994975973,3.0
353.0,546.0,794.5229176472297,4.0
271.0,625.0,798.6097294674039,4.0
82.0,622.0,799.2531930913173,3.0
39.0,263.0,799.3297192022826,2.0
574.0,592.0,804.7870111609242,5.0
109.0,658.0,806.7754747553167,3.0
331.0,640.0,818.1752053604819,4.0
466.0,681.0,825.0964590074707,4.0
124.0,577.0,827.2661804602756,3.0
321.0,414.0,852.6781338817127,2.0
96.0,229.0,864.005208317635,2.0
112.0,252.0,864.020833082166,2.0
355.0,576.0,867.6883080922549,3.0
134.0,508.0,872.9536070147141,3.0
341.0,680.0,875.9411509913209,5.0
362.0,375.0,892.8566514284362,2.0
20.0,588.0,899.9616658502739,3.0
47.0,164.0,904.7922413460451,2.0
102.0,553.0,921.7700363973652,3.0
504.0,602.0,933.4495165781595,4.0
100.0,190.0,939.7616719147467,2.0
618.0,619.0,940.6062761148613,6.0
143.0,603.0,951.0572563005366,7.0
175.0,258.0,973.6698619141911,2.0
636.0,649.0,986.2300272586851,5.0
201.0,647.0,1001.4189932291079,4.0
459.0,655.0,1001.8707263818783,7.0
140.0,654.0,1002.6631205611052,3.0
614.0,633.0,1004.9002438053242,4.0
300.0,684.0,1006.1539146671349,5.0
161.0,670.0,1006.1628098871474,5.0
235.0,491.0,1008.0,2.0
423.0,591.0,1016.324259279488,3.0
13.0,266.0,1072.0298503306706,2.0
609.0,682.0,1081.3814621430622,5.0
449.0,669.0,1082.8019209439924,3.0
227.0,463.0,1086.0,2.0
586.0,597.0,1096.7925966197986,4.0
64.0,672.0,1099.6878344936501,3.0
172.0,652.0,1103.5834056986057,3.0
31.0,242.0,1104.0765372020185,2.0
18.0,103.0,1116.7166157982965,2.0
